"Group","Intention","Freq","N","SurveyName","Country","StartYear"
"Infecund, Menopausal","Use Later",0.345451053719415,770,"BDIR7RFL.DTA","Bangladesh",2017
"Married, Does Not Want Child within 2 Years","Does Not Intend",0.0494387941591158,712,"BDIR7RFL.DTA","Bangladesh",2017
"Married, Does Not Want Child within 2 Years","Unsure About Use",0.00880440199606096,712,"BDIR7RFL.DTA","Bangladesh",2017
"Married, Does Not Want Child within 2 Years","Use Later",0.941756803844823,712,"BDIR7RFL.DTA","Bangladesh",2017
"Married, Wants Child within 2 Years","Does Not Intend",0.0415825933802483,348,"BDIR7RFL.DTA","Bangladesh",2017
"Married, Wants Child within 2 Years","Unsure About Use",0.0199121178208532,348,"BDIR7RFL.DTA","Bangladesh",2017
"Married, Wants Child within 2 Years","Use Later",0.938505288798899,348,"BDIR7RFL.DTA","Bangladesh",2017
"Not Married, Sexually Active","Does Not Intend",,407,"BDIR7RFL.DTA","Bangladesh",2017
"Not Married, Sexually Active","Unsure About Use",,407,"BDIR7RFL.DTA","Bangladesh",2017
"Not Married, Sexually Active","Use Later",,407,"BDIR7RFL.DTA","Bangladesh",2017
"All Never Users","Does Not Intend",0.513854406602543,12054,"BJIR61FL.DTA","Benin",2011
"All Never Users","Unsure About Use",0.246941243392712,12054,"BJIR61FL.DTA","Benin",2011
"All Never Users","Use Later",0.239204350004744,12054,"BJIR61FL.DTA","Benin",2011
"Infecund, Menopausal","Does Not Intend",0.757091310700032,2652,"BJIR61FL.DTA","Benin",2011
"Infecund, Menopausal","Unsure About Use",0.155091332204852,2652,"BJIR61FL.DTA","Benin",2011
"Infecund, Menopausal","Use Later",0.0878173570951161,2652,"BJIR61FL.DTA","Benin",2011
"Married, Does Not Want Child within 2 Years","Does Not Intend",0.466067747025362,4527,"BJIR61FL.DTA","Benin",2011
"Married, Does Not Want Child within 2 Years","Unsure About Use",0.262508750439672,4527,"BJIR61FL.DTA","Benin",2011
"Married, Does Not Want Child within 2 Years","Use Later",0.271423502534966,4527,"BJIR61FL.DTA","Benin",2011
"Married, Wants Child within 2 Years","Does Not Intend",0.569571319716381,2201,"BJIR61FL.DTA","Benin",2011
"Married, Wants Child within 2 Years","Unsure About Use",0.205255621200488,2201,"BJIR61FL.DTA","Benin",2011
"Married, Wants Child within 2 Years","Use Later",0.225173059083131,2201,"BJIR61FL.DTA","Benin",2011
"Not Married, Not Sexually Active","Does Not Intend",0.310146279545259,2115,"BJIR61FL.DTA","Benin",2011
"Not Married, Not Sexually Active","Unsure About Use",0.353448568103102,2115,"BJIR61FL.DTA","Benin",2011
"Not Married, Not Sexually Active","Use Later",0.336405152351639,2115,"BJIR61FL.DTA","Benin",2011
"Not Married, Sexually Active","Does Not Intend",0.3585350905214,559,"BJIR61FL.DTA","Benin",2011
"Not Married, Sexually Active","Unsure About Use",0.28514169948856,559,"BJIR61FL.DTA","Benin",2011
"Not Married, Sexually Active","Use Later",0.35632320999004,559,"BJIR61FL.DTA","Benin",2011
"All Never Users","Does Not Intend",0.550495615926872,10972,"BJIR71FL.DTA","Benin",2017
"All Never Users","Unsure About Use",0.14455603695496,10972,"BJIR71FL.DTA","Benin",2017
"All Never Users","Use Later",0.304948347118167,10972,"BJIR71FL.DTA","Benin",2017
"Infecund, Menopausal","Does Not Intend",0.798069263978176,1934,"BJIR71FL.DTA","Benin",2017
"Infecund, Menopausal","Unsure About Use",0.0804004837656562,1934,"BJIR71FL.DTA","Benin",2017
"Infecund, Menopausal","Use Later",0.121530252256168,1934,"BJIR71FL.DTA","Benin",2017
"Married, Does Not Want Child within 2 Years","Does Not Intend",0.51511818161623,4241,"BJIR71FL.DTA","Benin",2017
