"Time_Since_Use","Freq","SurveyName","Country","StartYear"
"4 Year",0.0817099192824873,"SNIR7HFL.DTA","Senegal",2015
"5+ Years",0.397862555758461,"SNIR7HFL.DTA","Senegal",2015
"Under a Year",0.143716599645126,"SNIR7HFL.DTA","Senegal",2015
"1 Year",0.0872443074357502,"SNIR70FL.DTA","Senegal",2014
"2 Year",0.107758231968953,"SNIR70FL.DTA","Senegal",2014
"3 Year",0.105353361042908,"SNIR70FL.DTA","Senegal",2014
"4 Year",0.0801707777924294,"SNIR70FL.DTA","Senegal",2014
"5+ Years",0.481140141419292,"SNIR70FL.DTA","Senegal",2014
"Under a Year",0.138333180340667,"SNIR70FL.DTA","Senegal",2014
"1 Year",0.111978692596761,"SNIR6DFL.DTA","Senegal",2012
"2 Year",0.105536518187742,"SNIR6DFL.DTA","Senegal",2012
"3 Year",0.105960439027481,"SNIR6DFL.DTA","Senegal",2012
"4 Year",0.0952259311946494,"SNIR6DFL.DTA","Senegal",2012
"5+ Years",0.402496652507441,"SNIR6DFL.DTA","Senegal",2012
"Under a Year",0.178801766485925,"SNIR6DFL.DTA","Senegal",2012
"1 Year",0.107508975933776,"SNIR61FL.DTA","Senegal",2010
"2 Year",0.0961622940894589,"SNIR61FL.DTA","Senegal",2010
"3 Year",0.0942504326728786,"SNIR61FL.DTA","Senegal",2010
"4 Year",0.109130466186723,"SNIR61FL.DTA","Senegal",2010
"5+ Years",0.437211825265238,"SNIR61FL.DTA","Senegal",2010
"Under a Year",0.155736005851925,"SNIR61FL.DTA","Senegal",2010
"1 Year",0.0934041463089644,"SLIR7AFL.DTA","Sierra Leone",2019
"2 Year",0.0967833174869325,"SLIR7AFL.DTA","Sierra Leone",2019
"3 Year",0.0826959632463622,"SLIR7AFL.DTA","Sierra Leone",2019
"4 Year",0.0477950165561904,"SLIR7AFL.DTA","Sierra Leone",2019
"5+ Years",0.439752567089436,"SLIR7AFL.DTA","Sierra Leone",2019
"Under a Year",0.239568989312114,"SLIR7AFL.DTA","Sierra Leone",2019
"1 Year",0.100307162500594,"SLIR61FL.DTA","Sierra Leone",2013
"2 Year",0.130788947314696,"SLIR61FL.DTA","Sierra Leone",2013
"3 Year",0.103569698781872,"SLIR61FL.DTA","Sierra Leone",2013
"4 Year",0.103759184137442,"SLIR61FL.DTA","Sierra Leone",2013
"5+ Years",0.380648413093036,"SLIR61FL.DTA","Sierra Leone",2013
"Under a Year",0.18092659417236,"SLIR61FL.DTA","Sierra Leone",2013
"1 Year",0.0654961143176572,"ZAIR71FL.DTA","South Africa",2016
"2 Year",0.0594220212694892,"ZAIR71FL.DTA","South Africa",2016
"3 Year",0.0430237123002618,"ZAIR71FL.DTA","South Africa",2016
"4 Year",0.0493700337600616,"ZAIR71FL.DTA","South Africa",2016
"5+ Years",0.429977531557666,"ZAIR71FL.DTA","South Africa",2016
