"Var1","Var2","Freq","SurveyName","Country","StartYear"
"25-39","Never Used",0.0975750622664153,"NPIR60FL.DTA","Nepal",2011
"40-49","Never Used",0.0409126843174477,"NPIR60FL.DTA","Nepal",2011
"15-24","Current User",0.0548127714678102,"NPIR7HFL.DTA","Nepal",2016
"25-39","Current User",0.229960125405416,"NPIR7HFL.DTA","Nepal",2016
"40-49","Current User",0.122863097580312,"NPIR7HFL.DTA","Nepal",2016
"15-24","Former User",0.0468020562513984,"NPIR7HFL.DTA","Nepal",2016
"25-39","Former User",0.109428391790588,"NPIR7HFL.DTA","Nepal",2016
"40-49","Former User",0.0375313371339493,"NPIR7HFL.DTA","Nepal",2016
"15-24","Never Used",0.275394494657117,"NPIR7HFL.DTA","Nepal",2016
"25-39","Never Used",0.0891919958325056,"NPIR7HFL.DTA","Nepal",2016
"40-49","Never Used",0.0340157298809039,"NPIR7HFL.DTA","Nepal",2016
"15-24","Current User",0.0580776470319265,"NPIR81FL.DTA","Nepal",2022
"25-39","Current User",0.252168962718479,"NPIR81FL.DTA","Nepal",2022
"40-49","Current User",0.127242093360804,"NPIR81FL.DTA","Nepal",2022
"15-24","Former User",0.0403983906161114,"NPIR81FL.DTA","Nepal",2022
"25-39","Former User",0.11394781522847,"NPIR81FL.DTA","Nepal",2022
"40-49","Former User",0.0465489093676926,"NPIR81FL.DTA","Nepal",2022
"15-24","Never Used",0.257197200489377,"NPIR81FL.DTA","Nepal",2022
"25-39","Never Used",0.0787750764639465,"NPIR81FL.DTA","Nepal",2022
"40-49","Never Used",0.0256439047231924,"NPIR81FL.DTA","Nepal",2022
"15-24","Current User",0.0315593018903714,"NIIR61FL.DTA","Niger",2012
"25-39","Current User",0.0829784399969519,"NIIR61FL.DTA","Niger",2012
"40-49","Current User",0.0104535436414224,"NIIR61FL.DTA","Niger",2012
"15-24","Former User",0.0302470222416912,"NIIR61FL.DTA","Niger",2012
"25-39","Former User",0.0931976083714893,"NIIR61FL.DTA","Niger",2012
"40-49","Former User",0.0237176931736534,"NIIR61FL.DTA","Niger",2012
"15-24","Never Used",0.280666205571569,"NIIR61FL.DTA","Niger",2012
"25-39","Never Used",0.322928929864744,"NIIR61FL.DTA","Niger",2012
"40-49","Never Used",0.124251255248108,"NIIR61FL.DTA","Niger",2012
"15-24","Current User",0.0419777928929897,"NGIR6AFL.DTA","Nigeria",2013
"25-39","Current User",0.0872806212043061,"NGIR6AFL.DTA","Nigeria",2013
"40-49","Current User",0.0306076927328543,"NGIR6AFL.DTA","Nigeria",2013
"15-24","Former User",0.0167484849137203,"NGIR6AFL.DTA","Nigeria",2013
"25-39","Former User",0.0479088527838046,"NGIR6AFL.DTA","Nigeria",2013
"40-49","Former User",0.0158504628741336,"NGIR6AFL.DTA","Nigeria",2013
"15-24","Never Used",0.315528936396717,"NGIR6AFL.DTA","Nigeria",2013
"25-39","Never Used",0.309756052229176,"NGIR6AFL.DTA","Nigeria",2013
"40-49","Never Used",0.134341103972299,"NGIR6AFL.DTA","Nigeria",2013
"15-24","Current User",0.0254106185211253,"NGIR7AFL.DTA","Nigeria",2018
"25-39","Current User",0.0885720487595062,"NGIR7AFL.DTA","Nigeria",2018
"40-49","Current User",0.0290224286718572,"NGIR7AFL.DTA","Nigeria",2018
"15-24","Former User",0.0215454691161465,"NGIR7AFL.DTA","Nigeria",2018
"25-39","Former User",0.0803622584283296,"NGIR7AFL.DTA","Nigeria",2018
"40-49","Former User",0.031722965758175,"NGIR7AFL.DTA","Nigeria",2018
"15-24","Never Used",0.31849672063044,"NGIR7AFL.DTA","Nigeria",2018
"25-39","Never Used",0.282888870669069,"NGIR7AFL.DTA","Nigeria",2018
"40-49","Never Used",0.121978619445352,"NGIR7AFL.DTA","Nigeria",2018
"15-24","Current User",0.0310575212568598,"PKIR71FL.DTA","Pakistan",2017
"25-39","Current User",0.211304342524299,"PKIR71FL.DTA","Pakistan",2017
"40-49","Current User",0.0887644973816685,"PKIR71FL.DTA","Pakistan",2017
"15-24","Former User",0.0153057699303123,"PKIR71FL.DTA","Pakistan",2017
"25-39","Former User",0.0792495722248881,"PKIR71FL.DTA","Pakistan",2017
