"Var1","Var2","Freq","SurveyName","Country","StartYear"
"UMNSA","Current User",0.0262668315485136,"BFIR81FL.DTA","Burkina Faso",2021
"UMSA","Current User",0.0277270320704867,"BFIR81FL.DTA","Burkina Faso",2021
"Married","Former User",0.172095156241301,"BFIR81FL.DTA","Burkina Faso",2021
"UMNSA","Former User",0.0160387781976593,"BFIR81FL.DTA","Burkina Faso",2021
"UMSA","Former User",0.00442892276194275,"BFIR81FL.DTA","Burkina Faso",2021
"Married","Never Used",0.310048708461441,"BFIR81FL.DTA","Burkina Faso",2021
"UMNSA","Never Used",0.186662110382238,"BFIR81FL.DTA","Burkina Faso",2021
"UMSA","Never Used",0.0101047890096414,"BFIR81FL.DTA","Burkina Faso",2021
"Married","Current User",0.126247653724234,"BUIR61FL.DTA","Burundi",2010
"UMNSA","Current User",0.00541554656112046,"BUIR61FL.DTA","Burundi",2010
"UMSA","Current User",0.00238623755571406,"BUIR61FL.DTA","Burundi",2010
"Married","Former User",0.0596255243660129,"BUIR61FL.DTA","Burundi",2010
"UMNSA","Former User",0.00640636813479892,"BUIR61FL.DTA","Burundi",2010
"UMSA","Former User",0.000901485757517629,"BUIR61FL.DTA","Burundi",2010
"Married","Never Used",0.391501440334343,"BUIR61FL.DTA","Burundi",2010
"UMNSA","Never Used",0.401662186152885,"BUIR61FL.DTA","Burundi",2010
"UMSA","Never Used",0.0058535574133743,"BUIR61FL.DTA","Burundi",2010
"Married","Current User",0.161683211518317,"BUIR70FL.DTA","Burundi",2016
"UMNSA","Current User",0.014219046442179,"BUIR70FL.DTA","Burundi",2016
"UMSA","Current User",0.00297132870837136,"BUIR70FL.DTA","Burundi",2016
"Married","Former User",0.143671661754018,"BUIR70FL.DTA","Burundi",2016
"UMNSA","Former User",0.0281984942325472,"BUIR70FL.DTA","Burundi",2016
"UMSA","Former User",0.00172142375636469,"BUIR70FL.DTA","Burundi",2016
"Married","Never Used",0.261073439441149,"BUIR70FL.DTA","Burundi",2016
"UMNSA","Never Used",0.383100899812887,"BUIR70FL.DTA","Burundi",2016
"UMSA","Never Used",0.00336049433416664,"BUIR70FL.DTA","Burundi",2016
"Married","Current User",0.381202482369068,"KHIR73FL.DTA","Cambodia",2014
"MISSING","Current User",0.00000997627713796308,"KHIR73FL.DTA","Cambodia",2014
"UMNSA","Current User",0.00272072976858151,"KHIR73FL.DTA","Cambodia",2014
"UMSA","Current User",0.00138928888011739,"KHIR73FL.DTA","Cambodia",2014
"Married","Former User",0.124099138364282,"KHIR73FL.DTA","Cambodia",2014
"MISSING","Former User",0.0000883242118471249,"KHIR73FL.DTA","Cambodia",2014
"UMNSA","Former User",0.0209397807495637,"KHIR73FL.DTA","Cambodia",2014
"UMSA","Former User",0.000592373362848928,"KHIR73FL.DTA","Cambodia",2014
"Married","Never Used",0.171594611157985,"KHIR73FL.DTA","Cambodia",2014
"MISSING","Never Used",0.000350745590141936,"KHIR73FL.DTA","Cambodia",2014
"UMNSA","Never Used",0.29660397753212,"KHIR73FL.DTA","Cambodia",2014
"UMSA","Never Used",0.000408571736306584,"KHIR73FL.DTA","Cambodia",2014
"Married","Current User",0.428707984796684,"KHIR81FL.DTA","Cambodia",2021
"UMNSA","Current User",0.00163600611900478,"KHIR81FL.DTA","Cambodia",2021
"UMSA","Current User",0.000881492981101263,"KHIR81FL.DTA","Cambodia",2021
"Married","Former User",0.0942229340405391,"KHIR81FL.DTA","Cambodia",2021
"UMNSA","Former User",0.0199471030267966,"KHIR81FL.DTA","Cambodia",2021
"UMSA","Former User",0.000712834485485384,"KHIR81FL.DTA","Cambodia",2021
"Married","Never Used",0.169132413654748,"KHIR81FL.DTA","Cambodia",2021
"UMNSA","Never Used",0.283537518071414,"KHIR81FL.DTA","Cambodia",2021
"UMSA","Never Used",0.00122171282422702,"KHIR81FL.DTA","Cambodia",2021
"Married","Current User",0.148322025778233,"CMIR61FL.DTA","Cameroon",2011
"MISSING","Current User",0.0000463976407865977,"CMIR61FL.DTA","Cameroon",2011
"UMNSA","Current User",0.0460796243827062,"CMIR61FL.DTA","Cameroon",2011
"UMSA","Current User",0.0424952265787828,"CMIR61FL.DTA","Cameroon",2011
"Married","Former User",0.137989555629876,"CMIR61FL.DTA","Cameroon",2011
"MISSING","Former User",0.000240077079933311,"CMIR61FL.DTA","Cameroon",2011
"UMNSA","Former User",0.0456633587233794,"CMIR61FL.DTA","Cameroon",2011
"UMSA","Former User",0.0113219554423056,"CMIR61FL.DTA","Cameroon",2011
"Married","Never Used",0.348448089256672,"CMIR61FL.DTA","Cameroon",2011
"MISSING","Never Used",0.000446030926041781,"CMIR61FL.DTA","Cameroon",2011
"UMNSA","Never Used",0.200278997163278,"CMIR61FL.DTA","Cameroon",2011
"UMSA","Never Used",0.018668661398005,"CMIR61FL.DTA","Cameroon",2011
"Married","Current User",0.109973779099069,"CMIR71FL.DTA","Cameroon",2018
"MISSING","Current User",0,"CMIR71FL.DTA","Cameroon",2018
"UMNSA","Current User",0.0385427716698803,"CMIR71FL.DTA","Cameroon",2018
"UMSA","Current User",0.0466375417227851,"CMIR71FL.DTA","Cameroon",2018
"Married","Former User",0.0976846588547872,"CMIR71FL.DTA","Cameroon",2018
"MISSING","Former User",0.0000552942221924151,"CMIR71FL.DTA","Cameroon",2018
"UMNSA","Former User",0.0395608848315857,"CMIR71FL.DTA","Cameroon",2018
"UMSA","Former User",0.0182199833140533,"CMIR71FL.DTA","Cameroon",2018
"Married","Never Used",0.36141094867576,"CMIR71FL.DTA","Cameroon",2018
"MISSING","Never Used",0.000162419745352844,"CMIR71FL.DTA","Cameroon",2018
"UMNSA","Never Used",0.254584705342386,"CMIR71FL.DTA","Cameroon",2018
"UMSA","Never Used",0.0331670125221477,"CMIR71FL.DTA","Cameroon",2018
"Married","Current User",0.0422935576953314,"TDIR71FL.DTA","Chad",2014
"MISSING","Current User",0.0000890520346346853,"TDIR71FL.DTA","Chad",2014
"UMNSA","Current User",0.00692607427798383,"TDIR71FL.DTA","Chad",2014
"UMSA","Current User",0.00424096710201357,"TDIR71FL.DTA","Chad",2014
"Married","Former User",0.0247853341312106,"TDIR71FL.DTA","Chad",2014
"MISSING","Former User",0.0000207358203281213,"TDIR71FL.DTA","Chad",2014
"UMNSA","Former User",0.00619269632133084,"TDIR71FL.DTA","Chad",2014
"UMSA","Former User",0.000994861900722522,"TDIR71FL.DTA","Chad",2014
"Married","Never Used",0.681414894573446,"TDIR71FL.DTA","Chad",2014
"MISSING","Never Used",0.000926584232609352,"TDIR71FL.DTA","Chad",2014
"UMNSA","Never Used",0.217435670699886,"TDIR71FL.DTA","Chad",2014
"UMSA","Never Used",0.0146795712105035,"TDIR71FL.DTA","Chad",2014
"Married","Current User",0.118495197155445,"KMIR61FL.DTA","Comoros",2012
"UMNSA","Current User",0.00818654120484583,"KMIR61FL.DTA","Comoros",2012
"UMSA","Current User",0.00989537892778946,"KMIR61FL.DTA","Comoros",2012
"Married","Former User",0.071626208754862,"KMIR61FL.DTA","Comoros",2012
"UMNSA","Former User",0.00904474389076866,"KMIR61FL.DTA","Comoros",2012
"UMSA","Former User",0.00142513345620522,"KMIR61FL.DTA","Comoros",2012
"Married","Never Used",0.421819552764155,"KMIR61FL.DTA","Comoros",2012
