Group,Decider,Freq,SurveyName,Country,StartYear
Current User,Mainly Respondent,0.084205257,JOIR72FL.DTA,Jordan,2017
Current User,"Mainly Husband, Partner",0.06992464,JOIR72FL.DTA,Jordan,2017
Current User,Joint Decision,0.845423691,JOIR72FL.DTA,Jordan,2017
Current User,Other,0.000446412,JOIR72FL.DTA,Jordan,2017
Never User,Mainly Respondent,0.118379526,JOIR72FL.DTA,Jordan,2017
Never User,"Mainly Husband, Partner",0.121796179,JOIR72FL.DTA,Jordan,2017
Never User,Joint Decision,0.750537745,JOIR72FL.DTA,Jordan,2017
Never User,Other,0.00928655,JOIR72FL.DTA,Jordan,2017
Former User,Mainly Respondent,0.119650063,JOIR72FL.DTA,Jordan,2017
Former User,"Mainly Husband, Partner",0.075838676,JOIR72FL.DTA,Jordan,2017
Former User,Joint Decision,0.797935569,JOIR72FL.DTA,Jordan,2017
Former User,Other,0.006575692,JOIR72FL.DTA,Jordan,2017
Current User,Mainly Respondent,0.163231034,JOIR6CFL.DTA,Jordan,2012
Current User,Mainly Husband,0.045942924,JOIR6CFL.DTA,Jordan,2012
Current User,Joint Decision,0.789742701,JOIR6CFL.DTA,Jordan,2012
Current User,Other,0.001083341,JOIR6CFL.DTA,Jordan,2012
Current User,Mainly Respondent,0.310287194,KEIR72FL.DTA,Kenya,2014
Current User,"Mainly Husband, Partner",0.10449264,KEIR72FL.DTA,Kenya,2014
Current User,Joint Decision,0.583983016,KEIR72FL.DTA,Kenya,2014
Current User,Other,0.00123715,KEIR72FL.DTA,Kenya,2014
Current User,Mainly Respondent,0.387732483,KYIR61FL.DTA,Kyrgyz Republic,2012
Current User,"Mainly Husband, Partner",0.052048782,KYIR61FL.DTA,Kyrgyz Republic,2012
Current User,Joint Decision,0.558661857,KYIR61FL.DTA,Kyrgyz Republic,2012
Current User,Other,0.001556878,KYIR61FL.DTA,Kyrgyz Republic,2012
Current User,Mainly Respondent,0.175926529,LSIR71FL.DTA,Lesotho,2014
Current User,"Mainly Husband, Partner",0.063037397,LSIR71FL.DTA,Lesotho,2014
Current User,Joint Decision,0.754544214,LSIR71FL.DTA,Lesotho,2014
Current User,Other,0.00649186,LSIR71FL.DTA,Lesotho,2014
Current User,Mainly Respondent,0.381004256,LBIR7AFL.DTA,Liberia,2019
Current User,"Mainly Husband, Partner",0.130671182,LBIR7AFL.DTA,Liberia,2019
Current User,Joint Decision,0.483528829,LBIR7AFL.DTA,Liberia,2019
Current User,Other,0.004795733,LBIR7AFL.DTA,Liberia,2019
Never User,Mainly Respondent,0.479390443,LBIR7AFL.DTA,Liberia,2019
Never User,"Mainly Husband, Partner",0.185803494,LBIR7AFL.DTA,Liberia,2019
Never User,Joint Decision,0.312343552,LBIR7AFL.DTA,Liberia,2019
Never User,Other,0.022462511,LBIR7AFL.DTA,Liberia,2019
Former User,Mainly Respondent,0.575766982,LBIR7AFL.DTA,Liberia,2019
Former User,"Mainly Husband, Partner",0.111840723,LBIR7AFL.DTA,Liberia,2019
Former User,Joint Decision,0.301823671,LBIR7AFL.DTA,Liberia,2019
Former User,Other,0.010568623,LBIR7AFL.DTA,Liberia,2019
Current User,Mainly Respondent,0.38677897,LBIR6AFL.DTA,Liberia,2013
Current User,"Mainly Husband, Partner",0.094071879,LBIR6AFL.DTA,Liberia,2013
Current User,Joint Decision,0.499296414,LBIR6AFL.DTA,Liberia,2013
Current User,Other,0.013039643,LBIR6AFL.DTA,Liberia,2013
Current User,Missing,0.006813094,LBIR6AFL.DTA,Liberia,2013
Current User,Mainly Respondent,0.144768572,MDIR81FL.DTA,Madagascar,2021
Current User,"Mainly Husband, Partner",0.049789373,MDIR81FL.DTA,Madagascar,2021
Current User,Joint Decision,0.80256406,MDIR81FL.DTA,Madagascar,2021
Current User,Other,0.002877995,MDIR81FL.DTA,Madagascar,2021
Never User,Mainly Respondent,0.290287668,MDIR81FL.DTA,Madagascar,2021
Never User,"Mainly Husband, Partner",0.088365708,MDIR81FL.DTA,Madagascar,2021
Never User,Joint Decision,0.597837031,MDIR81FL.DTA,Madagascar,2021
Never User,Other,0.023509593,MDIR81FL.DTA,Madagascar,2021
Former User,Mainly Respondent,0.280849061,MDIR81FL.DTA,Madagascar,2021
Former User,"Mainly Husband, Partner",0.051976761,MDIR81FL.DTA,Madagascar,2021
Former User,Joint Decision,0.645362768,MDIR81FL.DTA,Madagascar,2021
Former User,Other,0.02181141,MDIR81FL.DTA,Madagascar,2021
Current User,Mainly Respondent,0.127985843,MWIR7AFL.DTA,Malawi,2015
Current User,"Mainly Husband, Partner",0.064612128,MWIR7AFL.DTA,Malawi,2015
Current User,Joint Decision,0.797441522,MWIR7AFL.DTA,Malawi,2015
Current User,Other,0.009960507,MWIR7AFL.DTA,Malawi,2015
Never User,Mainly Respondent,0.326033539,MWIR7AFL.DTA,Malawi,2015
Never User,"Mainly Husband, Partner",0.097209186,MWIR7AFL.DTA,Malawi,2015
Never User,Joint Decision,0.525098177,MWIR7AFL.DTA,Malawi,2015
Never User,Other,0.051659098,MWIR7AFL.DTA,Malawi,2015
Former User,Mainly Respondent,0.298593253,MWIR7AFL.DTA,Malawi,2015
Former User,"Mainly Husband, Partner",0.076027496,MWIR7AFL.DTA,Malawi,2015
Former User,Joint Decision,0.591841574,MWIR7AFL.DTA,Malawi,2015
Former User,Other,0.033537677,MWIR7AFL.DTA,Malawi,2015
Current User,Mainly Respondent,0.041063249,MVIR71FL.DTA,Maldives,2016
Current User,"Mainly Husband, Partner",0.054791107,MVIR71FL.DTA,Maldives,2016
Current User,Joint Decision,0.887268208,MVIR71FL.DTA,Maldives,2016
Current User,Other,0.016877436,MVIR71FL.DTA,Maldives,2016
Never User,Mainly Respondent,0.039302754,MVIR71FL.DTA,Maldives,2016
Never User,"Mainly Husband, Partner",0.083498306,MVIR71FL.DTA,Maldives,2016
Never User,Joint Decision,0.743449502,MVIR71FL.DTA,Maldives,2016
Never User,Other,0.133749437,MVIR71FL.DTA,Maldives,2016
Former User,Mainly Respondent,0.062655755,MVIR71FL.DTA,Maldives,2016
Former User,"Mainly Husband, Partner",0.048771754,MVIR71FL.DTA,Maldives,2016
Former User,Joint Decision,0.864747013,MVIR71FL.DTA,Maldives,2016
Former User,Other,0.023825478,MVIR71FL.DTA,Maldives,2016
Current User,Mainly Respondent,0.3829614,MLIR7HFL.DTA,Mali,2018
Current User,"Mainly Husband, Partner",0.225295349,MLIR7HFL.DTA,Mali,2018
Current User,Joint Decision,0.383554546,MLIR7HFL.DTA,Mali,2018
Current User,Other,0.008188705,MLIR7HFL.DTA,Mali,2018
Never User,Mainly Respondent,0.485217013,MLIR7HFL.DTA,Mali,2018
Never User,"Mainly Husband, Partner",0.354932426,MLIR7HFL.DTA,Mali,2018
Never User,Joint Decision,0.12144962,MLIR7HFL.DTA,Mali,2018
Never User,Other,0.03840094,MLIR7HFL.DTA,Mali,2018
Former User,Mainly Respondent,0.529915067,MLIR7HFL.DTA,Mali,2018
Former User,"Mainly Husband, Partner",0.215975078,MLIR7HFL.DTA,Mali,2018
Former User,Joint Decision,0.216424314,MLIR7HFL.DTA,Mali,2018
Former User,Other,0.037685542,MLIR7HFL.DTA,Mali,2018
Current User,Mainly Respondent,0.441647735,MLIR6AFL.DTA,Mali,2012
Current User,"Mainly Husband, Partner",0.189366263,MLIR6AFL.DTA,Mali,2012
Current User,Joint Decision,0.368307094,MLIR6AFL.DTA,Mali,2012
Current User,Other,0.000678907,MLIR6AFL.DTA,Mali,2012
Current User,Mainly Respondent,0.236351895,MRIR71FL.DTA,Mauritania,2019
Current User,"Mainly Husband, Partner",0.132416351,MRIR71FL.DTA,Mauritania,2019
Current User,Joint Decision,0.627757934,MRIR71FL.DTA,Mauritania,2019
Current User,Other,0.00347382,MRIR71FL.DTA,Mauritania,2019
Never User,Mainly Respondent,0.358276431,MRIR71FL.DTA,Mauritania,2019
Never User,"Mainly Husband, Partner",0.228230899,MRIR71FL.DTA,Mauritania,2019
Never User,Joint Decision,0.388384713,MRIR71FL.DTA,Mauritania,2019
Never User,Other,0.025107957,MRIR71FL.DTA,Mauritania,2019
Former User,Mainly Respondent,0.351333666,MRIR71FL.DTA,Mauritania,2019
Former User,"Mainly Husband, Partner",0.1222968,MRIR71FL.DTA,Mauritania,2019
Former User,Joint Decision,0.515343544,MRIR71FL.DTA,Mauritania,2019
Former User,Other,0.01102599,MRIR71FL.DTA,Mauritania,2019
Current User,Mainly Respondent,0.326769001,MZIR62FL.DTA,Mozambique,2011
Current User,"Mainly Husband, Partner",0.149610356,MZIR62FL.DTA,Mozambique,2011
Current User,Joint Decision,0.519737338,MZIR62FL.DTA,Mozambique,2011
Current User,Other,0.003883305,MZIR62FL.DTA,Mozambique,2011
Current User,Mainly Respondent,0.189997322,NPIR7HFL.DTA,Nepal,2016
Current User,"Mainly Husband, Partner",0.146126756,NPIR7HFL.DTA,Nepal,2016
Current User,Joint Decision,0.66234897,NPIR7HFL.DTA,Nepal,2016
Current User,Other,0.001526952,NPIR7HFL.DTA,Nepal,2016
Never User,Mainly Respondent,0.178452851,NPIR7HFL.DTA,Nepal,2016
Never User,"Mainly Husband, Partner",0.123356261,NPIR7HFL.DTA,Nepal,2016
Never User,Joint Decision,0.670403219,NPIR7HFL.DTA,Nepal,2016
Never User,Other,0.027787668,NPIR7HFL.DTA,Nepal,2016
Former User,Mainly Respondent,0.2996211,NPIR7HFL.DTA,Nepal,2016
Former User,"Mainly Husband, Partner",0.101327516,NPIR7HFL.DTA,Nepal,2016
Former User,Joint Decision,0.584782247,NPIR7HFL.DTA,Nepal,2016
Former User,Other,0.014269137,NPIR7HFL.DTA,Nepal,2016
Current User,Mainly Respondent,0.1803585,NPIR60FL.DTA,Nepal,2011
