Var1,Freq,SurveyName,Country,StartYear
1 Year,0.131214517,DRIR61FL.DTA,Dominican Republic,2013
2 Year,0.082781031,DRIR61FL.DTA,Dominican Republic,2013
3 Year,0.068700005,DRIR61FL.DTA,Dominican Republic,2013
4 Year,0.050133067,DRIR61FL.DTA,Dominican Republic,2013
5+ Years,0.435209002,DRIR61FL.DTA,Dominican Republic,2013
Under a Year,0.231962377,DRIR61FL.DTA,Dominican Republic,2013
1 Year,0.165459693,EGIR61FL.DTA,Egypt,2014
2 Year,0.105458041,EGIR61FL.DTA,Egypt,2014
3 Year,0.080037527,EGIR61FL.DTA,Egypt,2014
4 Year,0.053647782,EGIR61FL.DTA,Egypt,2014
5+ Years,0.338125565,EGIR61FL.DTA,Egypt,2014
Under a Year,0.257271393,EGIR61FL.DTA,Egypt,2014
1 Year,0.218404686,ETIR70FL.DTA,Ethiopia,2016
2 Year,0.138006736,ETIR70FL.DTA,Ethiopia,2016
3 Year,0.085177397,ETIR70FL.DTA,Ethiopia,2016
4 Year,0.053448552,ETIR70FL.DTA,Ethiopia,2016
5+ Years,0.107670495,ETIR70FL.DTA,Ethiopia,2016
Under a Year,0.397292134,ETIR70FL.DTA,Ethiopia,2016
1 Year,0.218058279,ETIR61FL.DTA,Ethiopia,2011
2 Year,0.124014141,ETIR61FL.DTA,Ethiopia,2011
3 Year,0.076206435,ETIR61FL.DTA,Ethiopia,2011
4 Year,0.060421371,ETIR61FL.DTA,Ethiopia,2011
5+ Years,0.09491263,ETIR61FL.DTA,Ethiopia,2011
Under a Year,0.426387144,ETIR61FL.DTA,Ethiopia,2011
1 Year,0.198102559,GAIR60FL.DTA,Gabon,2012
2 Year,0.134955156,GAIR60FL.DTA,Gabon,2012
3 Year,0.102252568,GAIR60FL.DTA,Gabon,2012
4 Year,0.057219591,GAIR60FL.DTA,Gabon,2012
5+ Years,0.131447228,GAIR60FL.DTA,Gabon,2012
Under a Year,0.376022899,GAIR60FL.DTA,Gabon,2012
1 Year,0.225800686,GMIR81FL.DTA,Gambia,2019
2 Year,0.130857255,GMIR81FL.DTA,Gambia,2019
3 Year,0.050370548,GMIR81FL.DTA,Gambia,2019
4 Year,0.046238106,GMIR81FL.DTA,Gambia,2019
5+ Years,0.080276378,GMIR81FL.DTA,Gambia,2019
Under a Year,0.466457028,GMIR81FL.DTA,Gambia,2019
1 Year,0.236606883,GMIR60FL.DTA,Gambia,2013
2 Year,0.112090523,GMIR60FL.DTA,Gambia,2013
3 Year,0.049260172,GMIR60FL.DTA,Gambia,2013
4 Year,0.023771542,GMIR60FL.DTA,Gambia,2013
5+ Years,0.070984301,GMIR60FL.DTA,Gambia,2013
Under a Year,0.50728658,GMIR60FL.DTA,Gambia,2013
1 Year,0.236955465,GHIR72FL.DTA,Ghana,2014
2 Year,0.133540665,GHIR72FL.DTA,Ghana,2014
3 Year,0.082220631,GHIR72FL.DTA,Ghana,2014
4 Year,0.054094011,GHIR72FL.DTA,Ghana,2014
5+ Years,0.112738138,GHIR72FL.DTA,Ghana,2014
Under a Year,0.38045109,GHIR72FL.DTA,Ghana,2014
1 Year,0.160936405,GUIR71FL.DTA,Guatemala,2014
2 Year,0.115777677,GUIR71FL.DTA,Guatemala,2014
3 Year,0.077497227,GUIR71FL.DTA,Guatemala,2014
4 Year,0.061908967,GUIR71FL.DTA,Guatemala,2014
5+ Years,0.335343087,GUIR71FL.DTA,Guatemala,2014
Under a Year,0.248536637,GUIR71FL.DTA,Guatemala,2014
1 Year,0.273428849,GNIR71FL.DTA,Guinea,2018
2 Year,0.150438848,GNIR71FL.DTA,Guinea,2018
3 Year,0.087060981,GNIR71FL.DTA,Guinea,2018
4 Year,0.028168098,GNIR71FL.DTA,Guinea,2018
5+ Years,0.064517991,GNIR71FL.DTA,Guinea,2018
Under a Year,0.396385232,GNIR71FL.DTA,Guinea,2018
1 Year,0.252686434,GNIR62FL.DTA,Guinea,2012
2 Year,0.120991863,GNIR62FL.DTA,Guinea,2012
3 Year,0.066443667,GNIR62FL.DTA,Guinea,2012
4 Year,0.056537014,GNIR62FL.DTA,Guinea,2012
5+ Years,0.096676042,GNIR62FL.DTA,Guinea,2012
Under a Year,0.406664979,GNIR62FL.DTA,Guinea,2012
1 Year,0.157619145,HNIR62FL.DTA,Honduras,2011
2 Year,0.097721013,HNIR62FL.DTA,Honduras,2011
3 Year,0.069128547,HNIR62FL.DTA,Honduras,2011
4 Year,0.0493022,HNIR62FL.DTA,Honduras,2011
5+ Years,0.318713154,HNIR62FL.DTA,Honduras,2011
Under a Year,0.307515941,HNIR62FL.DTA,Honduras,2011
1 Year,0.086471921,IAIR7DFL.DTA,India,2019
2 Year,0.066817869,IAIR7DFL.DTA,India,2019
3 Year,0.054357106,IAIR7DFL.DTA,India,2019
4 Year,0.050545773,IAIR7DFL.DTA,India,2019
5+ Years,0.612279511,IAIR7DFL.DTA,India,2019
Under a Year,0.12952782,IAIR7DFL.DTA,India,2019
1 Year,0.083872939,IAIR73FL.DTA,India,2015
2 Year,0.06806349,IAIR73FL.DTA,India,2015
3 Year,0.057916945,IAIR73FL.DTA,India,2015
4 Year,0.052280375,IAIR73FL.DTA,India,2015
5+ Years,0.635595534,IAIR73FL.DTA,India,2015
Under a Year,0.102270718,IAIR73FL.DTA,India,2015
1 Year,0.156465991,IDIR71FL.DTA,Indonesia,2017
2 Year,0.124220276,IDIR71FL.DTA,Indonesia,2017
3 Year,0.091714354,IDIR71FL.DTA,Indonesia,2017
4 Year,0.066482111,IDIR71FL.DTA,Indonesia,2017
5+ Years,0.348828857,IDIR71FL.DTA,Indonesia,2017
Under a Year,0.212288411,IDIR71FL.DTA,Indonesia,2017
1 Year,0.158568087,IDIR63FL.DTA,Indonesia,2012
2 Year,0.119304529,IDIR63FL.DTA,Indonesia,2012
3 Year,0.08977685,IDIR63FL.DTA,Indonesia,2012
4 Year,0.069255981,IDIR63FL.DTA,Indonesia,2012
5+ Years,0.330505693,IDIR63FL.DTA,Indonesia,2012
Under a Year,0.232588859,IDIR63FL.DTA,Indonesia,2012
1 Year,0.146330454,JOIR72FL.DTA,Jordan,2017
2 Year,0.117470388,JOIR72FL.DTA,Jordan,2017
3 Year,0.081989563,JOIR72FL.DTA,Jordan,2017
4 Year,0.069151128,JOIR72FL.DTA,Jordan,2017
5+ Years,0.349203593,JOIR72FL.DTA,Jordan,2017
Under a Year,0.235854875,JOIR72FL.DTA,Jordan,2017
1 Year,0.197615815,JOIR6CFL.DTA,Jordan,2012
2 Year,0.118341415,JOIR6CFL.DTA,Jordan,2012
3 Year,0.078804987,JOIR6CFL.DTA,Jordan,2012
4 Year,0.062428612,JOIR6CFL.DTA,Jordan,2012
5+ Years,0.222154444,JOIR6CFL.DTA,Jordan,2012
Under a Year,0.320654727,JOIR6CFL.DTA,Jordan,2012
1 Year,0.214288154,KEIR72FL.DTA,Kenya,2014
2 Year,0.127968882,KEIR72FL.DTA,Kenya,2014
3 Year,0.081750695,KEIR72FL.DTA,Kenya,2014
4 Year,0.059791238,KEIR72FL.DTA,Kenya,2014
5+ Years,0.184457762,KEIR72FL.DTA,Kenya,2014
Under a Year,0.331743269,KEIR72FL.DTA,Kenya,2014
1 Year,0.163379694,KYIR61FL.DTA,Kyrgyz Republic,2012
2 Year,0.131104091,KYIR61FL.DTA,Kyrgyz Republic,2012
3 Year,0.091502646,KYIR61FL.DTA,Kyrgyz Republic,2012
4 Year,0.080464162,KYIR61FL.DTA,Kyrgyz Republic,2012
5+ Years,0.298315088,KYIR61FL.DTA,Kyrgyz Republic,2012
Under a Year,0.235234319,KYIR61FL.DTA,Kyrgyz Republic,2012
1 Year,0.217237383,LSIR71FL.DTA,Lesotho,2014
2 Year,0.11658783,LSIR71FL.DTA,Lesotho,2014
3 Year,0.064936725,LSIR71FL.DTA,Lesotho,2014
4 Year,0.050189945,LSIR71FL.DTA,Lesotho,2014
5+ Years,0.20938436,LSIR71FL.DTA,Lesotho,2014
Under a Year,0.341663756,LSIR71FL.DTA,Lesotho,2014
1 Year,0.210729235,LBIR7AFL.DTA,Liberia,2019
2 Year,0.146391646,LBIR7AFL.DTA,Liberia,2019
3 Year,0.09557882,LBIR7AFL.DTA,Liberia,2019
4 Year,0.074824387,LBIR7AFL.DTA,Liberia,2019
