Time_Since_Use,Freq,SurveyName,Country,StartYear
Under a Year,0.20327783,SNIR7ZFL.DTA,Senegal,2017
1 Year,0.115339478,SNIR7QFL.DTA,Senegal,2016
2 Year,0.121407257,SNIR7QFL.DTA,Senegal,2016
3 Year,0.117262547,SNIR7QFL.DTA,Senegal,2016
4 Year,0.084360161,SNIR7QFL.DTA,Senegal,2016
5+ Years,0.401487801,SNIR7QFL.DTA,Senegal,2016
Under a Year,0.160142756,SNIR7QFL.DTA,Senegal,2016
1 Year,0.128445643,SNIR7HFL.DTA,Senegal,2015
2 Year,0.100979263,SNIR7HFL.DTA,Senegal,2015
3 Year,0.147286019,SNIR7HFL.DTA,Senegal,2015
4 Year,0.081709919,SNIR7HFL.DTA,Senegal,2015
5+ Years,0.397862556,SNIR7HFL.DTA,Senegal,2015
Under a Year,0.1437166,SNIR7HFL.DTA,Senegal,2015
1 Year,0.087244307,SNIR70FL.DTA,Senegal,2014
2 Year,0.107758232,SNIR70FL.DTA,Senegal,2014
3 Year,0.105353361,SNIR70FL.DTA,Senegal,2014
4 Year,0.080170778,SNIR70FL.DTA,Senegal,2014
5+ Years,0.481140141,SNIR70FL.DTA,Senegal,2014
Under a Year,0.13833318,SNIR70FL.DTA,Senegal,2014
1 Year,0.111978693,SNIR6DFL.DTA,Senegal,2012
2 Year,0.105536518,SNIR6DFL.DTA,Senegal,2012
3 Year,0.105960439,SNIR6DFL.DTA,Senegal,2012
4 Year,0.095225931,SNIR6DFL.DTA,Senegal,2012
5+ Years,0.402496653,SNIR6DFL.DTA,Senegal,2012
Under a Year,0.178801766,SNIR6DFL.DTA,Senegal,2012
1 Year,0.107508976,SNIR61FL.DTA,Senegal,2010
2 Year,0.096162294,SNIR61FL.DTA,Senegal,2010
3 Year,0.094250433,SNIR61FL.DTA,Senegal,2010
4 Year,0.109130466,SNIR61FL.DTA,Senegal,2010
5+ Years,0.437211825,SNIR61FL.DTA,Senegal,2010
Under a Year,0.155736006,SNIR61FL.DTA,Senegal,2010
1 Year,0.093404146,SLIR7AFL.DTA,Sierra Leone,2019
2 Year,0.096783317,SLIR7AFL.DTA,Sierra Leone,2019
3 Year,0.082695963,SLIR7AFL.DTA,Sierra Leone,2019
4 Year,0.047795017,SLIR7AFL.DTA,Sierra Leone,2019
