Group,Intention,Freq,N,SurveyName,Country,StartYear
"Infecund, Menopausal",Use Later,0.300713959,1224,BUIR61FL.DTA,Burundi,2010
"Infecund, Menopausal",Missing,0.005593873,1224,BUIR61FL.DTA,Burundi,2010
"Married, Does Not Want Child within 2 Years",Does Not Intend,0.247054437,2580,BUIR61FL.DTA,Burundi,2010
"Married, Does Not Want Child within 2 Years",Unsure About Use,0.046233725,2580,BUIR61FL.DTA,Burundi,2010
"Married, Does Not Want Child within 2 Years",Use Later,0.703683374,2580,BUIR61FL.DTA,Burundi,2010
"Married, Does Not Want Child within 2 Years",Missing,0.003028465,2580,BUIR61FL.DTA,Burundi,2010
"Married, Wants Child within 2 Years",Does Not Intend,0.267158883,374,BUIR61FL.DTA,Burundi,2010
"Married, Wants Child within 2 Years",Unsure About Use,0.038545927,374,BUIR61FL.DTA,Burundi,2010
"Married, Wants Child within 2 Years",Use Later,0.69429519,374,BUIR61FL.DTA,Burundi,2010
"Married, Wants Child within 2 Years",Missing,0,374,BUIR61FL.DTA,Burundi,2010
"Not Married, Not Sexually Active",Does Not Intend,0.14290335,3049,BUIR61FL.DTA,Burundi,2010
"Not Married, Not Sexually Active",Unsure About Use,0.067659551,3049,BUIR61FL.DTA,Burundi,2010
"Not Married, Not Sexually Active",Use Later,0.785577882,3049,BUIR61FL.DTA,Burundi,2010
"Not Married, Not Sexually Active",Missing,0.003859216,3049,BUIR61FL.DTA,Burundi,2010
"Not Married, Sexually Active",Does Not Intend,0.190527862,205,BUIR61FL.DTA,Burundi,2010
"Not Married, Sexually Active",Unsure About Use,0.047196944,205,BUIR61FL.DTA,Burundi,2010
"Not Married, Sexually Active",Use Later,0.762275194,205,BUIR61FL.DTA,Burundi,2010
"Not Married, Sexually Active",Missing,0,205,BUIR61FL.DTA,Burundi,2010
All Never Users,Does Not Intend,0.299918027,8519,KHIR73FL.DTA,Cambodia,2014
All Never Users,Unsure About Use,0.124113985,8519,KHIR73FL.DTA,Cambodia,2014
All Never Users,Use Later,0.575967988,8519,KHIR73FL.DTA,Cambodia,2014
"Infecund, Menopausal",Does Not Intend,0.824875329,1761,KHIR73FL.DTA,Cambodia,2014
"Infecund, Menopausal",Unsure About Use,0.065467745,1761,KHIR73FL.DTA,Cambodia,2014
"Infecund, Menopausal",Use Later,0.109656925,1761,KHIR73FL.DTA,Cambodia,2014
"Married, Does Not Want Child within 2 Years",Does Not Intend,0.168832272,1384,KHIR73FL.DTA,Cambodia,2014
"Married, Does Not Want Child within 2 Years",Unsure About Use,0.040985004,1384,KHIR73FL.DTA,Cambodia,2014
"Married, Does Not Want Child within 2 Years",Use Later,0.790182724,1384,KHIR73FL.DTA,Cambodia,2014
"Married, Wants Child within 2 Years",Does Not Intend,0.276199399,399,KHIR73FL.DTA,Cambodia,2014
"Married, Wants Child within 2 Years",Unsure About Use,0.075929926,399,KHIR73FL.DTA,Cambodia,2014
"Married, Wants Child within 2 Years",Use Later,0.647870675,399,KHIR73FL.DTA,Cambodia,2014
"Not Married, Not Sexually Active",Does Not Intend,0.145387948,4938,KHIR73FL.DTA,Cambodia,2014
"Not Married, Not Sexually Active",Unsure About Use,0.173639553,4938,KHIR73FL.DTA,Cambodia,2014
"Not Married, Not Sexually Active",Use Later,0.680972499,4938,KHIR73FL.DTA,Cambodia,2014
"Not Married, Sexually Active",Does Not Intend,0.250910509,37,KHIR73FL.DTA,Cambodia,2014
"Not Married, Sexually Active",Unsure About Use,0.140459649,37,KHIR73FL.DTA,Cambodia,2014
"Not Married, Sexually Active",Use Later,0.608629842,37,KHIR73FL.DTA,Cambodia,2014
All Never Users,Does Not Intend,0.466156439,8671,CMIR61FL.DTA,Cameroon,2011
All Never Users,Unsure About Use,0.147765242,8671,CMIR61FL.DTA,Cameroon,2011
All Never Users,Use Later,0.386078319,8671,CMIR61FL.DTA,Cameroon,2011
"Infecund, Menopausal",Does Not Intend,0.776959971,1849,CMIR61FL.DTA,Cameroon,2011
"Infecund, Menopausal",Unsure About Use,0.083215061,1849,CMIR61FL.DTA,Cameroon,2011
"Infecund, Menopausal",Use Later,0.139824968,1849,CMIR61FL.DTA,Cameroon,2011
"Married, Does Not Want Child within 2 Years",Does Not Intend,0.40498567,2857,CMIR61FL.DTA,Cameroon,2011
"Married, Does Not Want Child within 2 Years",Unsure About Use,0.149013748,2857,CMIR61FL.DTA,Cameroon,2011
"Married, Does Not Want Child within 2 Years",Use Later,0.446000582,2857,CMIR61FL.DTA,Cameroon,2011
"Married, Wants Child within 2 Years",Does Not Intend,0.526810412,1096,CMIR61FL.DTA,Cameroon,2011
"Married, Wants Child within 2 Years",Unsure About Use,0.163375002,1096,CMIR61FL.DTA,Cameroon,2011
"Married, Wants Child within 2 Years",Use Later,0.309814586,1096,CMIR61FL.DTA,Cameroon,2011
"Not Married, Not Sexually Active",Does Not Intend,0.304390181,2413,CMIR61FL.DTA,Cameroon,2011
"Not Married, Not Sexually Active",Unsure About Use,0.190660944,2413,CMIR61FL.DTA,Cameroon,2011
"Not Married, Not Sexually Active",Use Later,0.504948875,2413,CMIR61FL.DTA,Cameroon,2011
"Not Married, Sexually Active",Does Not Intend,0.355673806,456,CMIR61FL.DTA,Cameroon,2011
"Not Married, Sexually Active",Unsure About Use,0.106979731,456,CMIR61FL.DTA,Cameroon,2011
"Not Married, Sexually Active",Use Later,0.537346463,456,CMIR61FL.DTA,Cameroon,2011
All Never Users,Does Not Intend,0.601995505,16484,TDIR71FL.DTA,Chad,2014
All Never Users,Unsure About Use,0.204385564,16484,TDIR71FL.DTA,Chad,2014
All Never Users,Use Later,0.193618931,16484,TDIR71FL.DTA,Chad,2014
"Infecund, Menopausal",Does Not Intend,0.821792518,3003,TDIR71FL.DTA,Chad,2014
"Infecund, Menopausal",Unsure About Use,0.115437823,3003,TDIR71FL.DTA,Chad,2014
"Infecund, Menopausal",Use Later,0.062769659,3003,TDIR71FL.DTA,Chad,2014
